ticker,etf_name,aum
SPY,SPDR S&P 500 ETF Trust,483328000.0
IVV,iShares Core S&P 500 ETF,396875000.0
VOO,Vanguard S&P 500 ETF,366552000.0
VTI,Vanguard Total Stock Market ETF,342468000.0
QQQ,Invesco QQQ Trust Series I,225570000.0
